Raum,Von,Bis,Kapazität,Belegung,Durchschnitt 
MUWO Schulungsraum1,09:30,12:00,16,2,0.125
MUWO Schulungsraum1,12:30,16:00,16,1,0.0625
MUWO R6 - Spain,10:00,10:30,8,2,0.25
MUWO R32 - Ukraine,07:30,12:00,12,2,0.166666666666667
MUWO R12 - Singapore,09:30,10:15,12,4,0.333333333333333
MUWO R12 - Singapore,10:30,11:00,12,3,0.25
MUWO R12 - Singapore,11:00,12:00,12,9,0.75
MUWO R12 - Singapore,12:30,13:00,12,5,0.416666666666667
MUWO R12 - Singapore,13:00,13:30,12,4,0.333333333333333
MUWO R12 - Singapore,14:00,15:00,12,4,0.333333333333333
MUWO R5 - Switzerland,08:00,09:00,6,6,1
MUWO R5 - Switzerland,10:00,11:00,6,3,0.5
MUWO R5 - Switzerland,13:00,13:30,6,4,0.666666666666667
MUWO R5 - Switzerland,13:30,15:00,6,6,1
MUWO R5 - Switzerland,15:00,16:00,6,5,0.833333333333333
MUWO R18 - Mexico,08:30,09:30,8,2,0.25
MUWO R18 - Mexico,10:00,12:00,8,4,0.5
MUWO R18 - Mexico,13:00,14:00,8,5,0.625
MUWO R18 - Mexico,14:45,15:15,8,2,0.25
MUWO R18 - Mexico,15:30,16:00,8,4,0.5
MUWO R9A - New Zealand,07:00,17:00,10,1,0.1
MUWO R50 - Costa Rica,08:15,09:00,10,8,0.8
MUWO R50 - Costa Rica,09:00,10:30,10,14,1.4
MUWO R50 - Costa Rica,10:30,12:30,10,7,0.7
MUWO R50 - Costa Rica,13:00,13:30,10,6,0.6
MUWO R50 - Costa Rica,14:00,15:30,10,2,0.2
MUWO R24 - Indien,06:30,08:00,8,2,0.25
MUWO R24 - Indien,08:15,09:15,8,3,0.375
MUWO R24 - Indien,09:15,10:30,8,3,0.375
MUWO R24 - Indien,10:30,11:30,8,3,0.375
MUWO R24 - Indien,11:30,12:15,8,3,0.375
MUWO R24 - Indien,13:00,14:00,8,4,0.5
MUWO R24 - Indien,14:00,15:00,8,5,0.625
MUWO R24 - Indien,15:00,16:00,8,2,0.25
MUWO R3 - Belgium,07:00,09:30,12,1,0.0833333333333333
MUWO R3 - Belgium,10:00,11:00,12,4,0.333333333333333
MUWO R3 - Belgium,11:00,12:00,12,2,0.166666666666667
MUWO R3 - Belgium,13:00,15:00,12,14,1.16666666666667
MUWO R3 - Belgium,15:00,15:30,12,4,0.333333333333333
MUWO R3 - Belgium,16:00,17:00,12,1,0.0833333333333333
MUWO R10 - Italy,08:00,17:00,6,2,0.333333333333333
MUWO R8B - Global,07:30,08:30,20,2,0.1
MUWO R8B - Global,09:30,12:30,20,11,0.55
MUWO R8B - Global,13:00,15:00,20,5,0.25
MUWO R8B - Global,15:00,16:30,20,5,0.25
MUWO R1 - Great Britain,08:00,09:00,6,3,0.5
MUWO R1 - Great Britain,09:00,09:30,6,2,0.333333333333333
MUWO R1 - Great Britain,09:30,10:00,6,2,0.333333333333333
MUWO R1 - Great Britain,11:00,12:00,6,4,0.666666666666667
MUWO R1 - Great Britain,14:00,14:30,6,1,0.166666666666667
MUWO R1 - Great Britain,16:00,17:00,6,3,0.5
MUWO R13 - Japan,08:00,09:30,10,4,0.4
MUWO R13 - Japan,10:00,11:00,10,10,1
MUWO R13 - Japan,11:00,12:00,10,1,0.1
MUWO R13 - Japan,13:00,14:00,10,6,0.6
MUWO R13 - Japan,14:00,15:00,10,4,0.4
MUWO R13 - Japan,15:00,16:30,10,3,0.3
MUWO R16 - Canada,08:00,17:00,12,1,0.0833333333333333
MUWO R25 - Brazil,10:00,11:30,10,5,0.5
MUWO R8C - Global,10:00,11:00,20,2,0.1
MUWO R8C - Global,11:30,12:00,20,3,0.15
MUWO R8C - Global,15:00,16:30,20,3,0.15
MUWO R17 - USA,08:00,10:00,12,1,0.0833333333333333
MUWO R17 - USA,10:00,11:30,12,2,0.166666666666667
MUWO R17 - USA,12:45,14:00,12,3,0.25
MUWO R17 - USA,14:00,16:00,12,1,0.0833333333333333
MUWO R17 - USA,16:30,18:00,12,1,0.0833333333333333
MUWO R8D - Global,10:30,11:30,20,2,0.1
MUWO R8D - Global,14:00,15:00,20,5,0.25
MUWO R33 - Argentinien,09:30,10:00,12,2,0.166666666666667
MUWO R33 - Argentinien,12:30,13:00,12,5,0.416666666666667
MUWO R33 - Argentinien,13:00,13:30,12,2,0.166666666666667
MUWO R33 - Argentinien,13:30,14:30,12,3,0.25
MUWO R14 - Dubai,07:00,07:30,10,2,0.2
MUWO R14 - Dubai,08:30,09:00,10,4,0.4
MUWO R14 - Dubai,10:00,11:00,10,2,0.2
MUWO R14 - Dubai,11:00,12:00,10,3,0.3
MUWO R14 - Dubai,12:30,14:00,10,6,0.6
MUWO R14 - Dubai,15:00,16:00,10,4,0.4
MUWO R9B - Australia,07:00,17:00,16,1,0.0625
MUWO R2 - France,08:30,09:00,6,3,0.5
MUWO R2 - France,09:30,10:00,6,2,0.333333333333333
MUWO R2 - France,10:00,11:00,6,2,0.333333333333333
MUWO R2 - France,11:00,12:00,6,1,0.166666666666667
MUWO R2 - France,13:00,15:00,6,14,2.33333333333333
MUWO R2 - France,15:00,16:00,6,1,0.166666666666667
MUWO R2 - France,16:00,17:00,6,3,0.5
MUWO R34 - Turkey,09:00,16:00,8,1,0.125
MUWO R8A - Global,07:30,16:30,36,1,0.0277777777777778
MUWO R39 - Austria,09:00,16:00,6,1,0.166666666666667
MUWO R40 - Croatia,09:00,09:30,12,3,0.25
MUWO R40 - Croatia,09:30,10:45,12,15,1.25
MUWO R40 - Croatia,11:00,12:00,12,2,0.166666666666667
MUWO R40 - Croatia,13:00,14:30,12,1,0.0833333333333333
MUWO R40 - Croatia,15:00,16:00,12,16,1.33333333333333
MUWO R41 - Czechia,08:00,08:30,6,2,0.333333333333333
MUWO R41 - Czechia,09:30,11:00,6,1,0.166666666666667
MUWO R41 - Czechia,11:00,12:30,6,2,0.333333333333333
MUWO R41 - Czechia,13:00,15:00,6,2,0.333333333333333
MUWO R42 - Greece,09:00,17:00,8,3,0.375
MUWO R43 - Hungary,08:00,09:00,8,6,0.75
MUWO R43 - Hungary,10:00,11:00,8,4,0.5
MUWO R43 - Hungary,11:00,12:30,8,2,0.25
MUWO R43 - Hungary,13:00,14:00,8,5,0.625
MUWO R43 - Hungary,14:00,15:00,8,4,0.5
MUWO R43 - Hungary,15:00,16:00,8,4,0.5
MUWO R43 - Hungary,16:30,17:30,8,3,0.375
MUWO R44 - Portugal,08:00,17:00,8,2,0.25
MUWO R45 - Romania,10:00,12:30,8,2,0.25
MUWO R45 - Romania,13:00,14:00,8,1,0.125
MUWO R45 - Romania,14:00,16:00,8,2,0.25
MUWO R37 - Iceland,08:30,09:45,6,2,0.333333333333333
MUWO R37 - Iceland,09:45,10:45,6,1,0.166666666666667
MUWO R37 - Iceland,11:00,12:00,6,6,1
MUWO R37 - Iceland,12:30,13:30,6,3,0.5
MUWO R37 - Iceland,13:30,14:00,6,4,0.666666666666667
MUWO R37 - Iceland,14:00,15:30,6,1,0.166666666666667
MUWO R37 - Iceland,17:00,18:00,6,3,0.5
MUWO R38 - Bulgaria,07:30,08:30,6,2,0.333333333333333
MUWO R38 - Bulgaria,09:30,10:00,6,2,0.333333333333333
MUWO R38 - Bulgaria,10:00,11:00,6,2,0.333333333333333
MUWO R38 - Bulgaria,11:00,13:30,6,2,0.333333333333333
MUWO R38 - Bulgaria,13:30,15:00,6,1,0.166666666666667
MUWO R7 - South Korea,14:00,15:00,6,4,0.666666666666667
MUWO R51 - Hong Kong,10:00,10:30,6,2,0.333333333333333
MUWO R51 - Hong Kong,11:00,12:00,6,2,0.333333333333333
MUWO R51 - Hong Kong,13:15,14:00,6,2,0.333333333333333
MUWO R51 - Hong Kong,14:00,14:30,6,2,0.333333333333333
MUWO R51 - Hong Kong,15:00,16:00,6,2,0.333333333333333